Branch Name,Types,Business Status,City,Province,Region,Address,Latitude,Longitude,Rating,User Ratings Count,Reviews,Place ID,Google Maps Link
BPI Northwestern University ATM,atm,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"Don Mariano, Marcos Ave, Laoag City, Ilocos Norte, Philippines",18.160564,120.6457875,5,1,No recent reviews,ChIJ9agObsnHjjMRqPofqwFy29E,https://www.google.com/maps/place/?q=place_id:ChIJ9agObsnHjjMRqPofqwFy29E
BPI Candon Branch,bank,OPERATIONAL,Candon City,Ilocos Sur,Ilocos Region,"G/F, Gloria Bldg, Candon City, 2710 Ilocos Sur, Philippines",17.1931185,120.4480726,2.7,6,"slow service you'll have to wait for 2hrs. ðŸ˜¡ if you'll asked when will you'll be serve they will brush it of with an answer of "" just wait your turn"" â€¦; Not recommend this branch here in candon",ChIJjQjSxu8ZjjMRaQRXziYwQU8,https://www.google.com/maps/place/?q=place_id:ChIJjQjSxu8ZjjMRaQRXziYwQU8
BPI Vigan Branch,bank,OPERATIONAL,Vigan City,Ilocos Sur,Ilocos Region,"NJTC Bldg, Jacinto St, corner Florentino St, Barangay 1, Vigan City, 2700 Ilocos Sur, Philippines",17.5754506,120.3885291,4.8,4,Very convenient. Everyone is friendly and accommodating,ChIJjQ-bkHZljjMR5-RPmVUBWVw,https://www.google.com/maps/place/?q=place_id:ChIJjQ-bkHZljjMR5-RPmVUBWVw
BPI Vigan Branch ATM & CAM,atm,OPERATIONAL,Vigan,Ilocos Sur,Ilocos Region,"Florentino cor, Sur, Jacinto St, Vigan City, Ilocos Sur, Philippines",17.573598,120.3880706,,,No reviews found,ChIJZX-AoHVljjMR6L0NJKFo7js,https://www.google.com/maps/place/?q=place_id:ChIJZX-AoHVljjMR6L0NJKFo7js
BPI Candon Branch ATM,atm,OPERATIONAL,Candon City,Ilocos Sur,Ilocos Region,"G/F Gloria Bldg., Brgy. San Antonio, Nat. Highway, Candon, Ilocos Sur, Candon City, Ilocos Sur, Philippines",17.193041,120.4480404,,,No reviews found,ChIJU2LRL-4ZjjMRreb1ZfEjBFk,https://www.google.com/maps/place/?q=place_id:ChIJU2LRL-4ZjjMRreb1ZfEjBFk
BPI Taft Quirino Avenue Branch,bank,OPERATIONAL,Manila,NCR,NCR,"2151, Taft Business Center, 2151 Taft Ave, Malate, Manila, 1004 Metro Manila, Philippines",14.569068,120.9919666,2.7,11,Good; no one answer my call; Nice info it's very useful..thank you; Very bad service! I applied for a loan and they told me they will call if some problems may occur.. but they did not! I was the one who called them...; Very bad service!!! Hours of waiting and still no progress especially the tellers are lazy.; Slow service!!!!! Tellers will slow down!,ChIJsTNklYHJlzMRbfaXrhZrxCA,https://www.google.com/maps/place/?q=place_id:ChIJsTNklYHJlzMRbfaXrhZrxCA
Bank of the Philippine Islands,bank,OPERATIONAL,ParaÃ±aque,NCR,NCR,"648 Quirino Ave, ParaÃ±aque, Metro Manila, Philippines",14.491868,120.9875572,2.1,9,"Always offline; It's always an offline ATM, that's it; Too slowâ€¦ doesnt know when and who to prioritize. They will just work fast when its already near the cut off time. Been waiting for 5 hours here when my transaction is just to deposit. Not organize guards and employees inside! During this pandemic time this should not be happening",ChIJRTAadoLOlzMR1TCEYPNF8LY,https://www.google.com/maps/place/?q=place_id:ChIJRTAadoLOlzMR1TCEYPNF8LY
BPI Ninoy Aquino Avenue Kabihasnan Branch,bank,OPERATIONAL,ParaÃ±aque,NCR,NCR,"G/F Cargo Aire Center, Kabihasnan Road, cor Ninoy Aquino Ave, ParaÃ±aque, 1700 Metro Manila, Philippines",14.4914344,120.9916743,3.3,3,No recent reviews,ChIJ-eRgv4POlzMRuxsZAmrIGn8,https://www.google.com/maps/place/?q=place_id:ChIJ-eRgv4POlzMRuxsZAmrIGn8
BPI Taft Quirino Ave. Branch ATM,atm,OPERATIONAL,Manila,NCR,NCR,"Zone 78, Taft Business Center, 2151 Taft Ave, Malate, Manila, 1004 Metro Manila, Philippines",14.569035,120.9919903,5,1,Good Customer service specially security Guard,ChIJz3JwlYHJlzMRIMkNrMCLgTQ,https://www.google.com/maps/place/?q=place_id:ChIJz3JwlYHJlzMRIMkNrMCLgTQ
BPI 38Th St. BGC Branch CAM,atm,OPERATIONAL,Taguig,NCR,NCR,"G/F One Orion Bldg 38th Street, corner 11th Ave, Taguig, 1634 Metro Manila, Philippines",14.5585521,121.0563222,1,3,"Cash Acceptance Machine is always down, what an inconvenience and waste of time if youâ€™re on the rush for somethings. Unreliable branch at its finest.; CAM always down.",ChIJixon_F_IlzMRdv266twEUEI,https://www.google.com/maps/place/?q=place_id:ChIJixon_F_IlzMRdv266twEUEI
BPI Tanay Branch ATM & CAM,atm,OPERATIONAL,Tanay,Rizal,CALABARZON,"Tanay Public Market, Brgy, Rizal, Tanay, Rizal, Philippines",14.494557,121.2899252,,,No reviews found,ChIJUYSblDzqlzMRLygFsXZA06M,https://www.google.com/maps/place/?q=place_id:ChIJUYSblDzqlzMRLygFsXZA06M
BPI Paranaque Branch ATM,atm,OPERATIONAL,ParaÃ±aque,NCR,NCR,"Kabihasnan Road, 648 Quirino Ave, Brgy. San Dionisio, ParaÃ±aque, Metro Manila, Philippines",14.5208527,120.9967916,2.3,3,Where can I report these people? They are so good at it. It's not that easy to see the money and then they just wait for the buyer in this shop and then they will take the money. This is at Pearl Plaza Tambo ParaÃ±aque at 1am midnight. â€¦; I asked the security guard here and they told me that there is no BPI bank here.,ChIJeSaqfq7OlzMR1VpYI7aBc7I,https://www.google.com/maps/place/?q=place_id:ChIJeSaqfq7OlzMR1VpYI7aBc7I
BPI Family Savings Taytay Highway Branch ATM,atm,OPERATIONAL,Taytay,Rizal,CALABARZON,"Alberto Bldg, G/F, Manila E Rd, Taytay, Rizal, Philippines",14.558951,121.136321,5,2,No reviews found,ChIJXWTV1g_HlzMRZ4yr-4MVHaA,https://www.google.com/maps/place/?q=place_id:ChIJXWTV1g_HlzMRZ4yr-4MVHaA
BPI PASIG AMANG RODRIGUEZ BRANCH CAM,atm,OPERATIONAL,Pasig,NCR,NCR,"Amang Rodriguez Ave. cor. Octagon St., Brgy. Dela Paz, Pasig, 1611 Metro Manila, Philippines",14.6093643,121.0920656,1.3,7,"Only 1 teller operating on a Monday for single transactions. Had to wait more than 2 hours just to deposit money...; Very very slow service. It will take at least ang hour to pickup your atm card. Make sure to have your whole day free if you have multiple transactions.; waited for 3 hours just to have my phone number updated. nice; The process here is very long, just claiming the card will take you another 4 hours.; The service is good because they said that there is a different line for the cashier and for the customer service, I waited a long time but when I got there they said that I got the wrong ticket number, they told me right away that it was â€¦",ChIJ-eACtRC4lzMRb-Bh_LV4-6o,https://www.google.com/maps/place/?q=place_id:ChIJ-eACtRC4lzMRb-Bh_LV4-6o
BPI Diego Silang Branch CAM,atm,OPERATIONAL,Manila City,NCR,NCR,"G/F, Petron, Diego Silang Complex, C5 Rd, Taguig, 1634 Kalakhang Maynila, Philippines",14.5590291,121.0642891,2,11,"The machines are always down. Especially the single unit CAM.; Bad customer sevice. Officer had me waiting for almost an hour, then later learned he went out to eat while I was waiting at his desk without letting me know.; IS YOUR OFFICE OPEN ON THE 31ST?; The teller is rude. He said there is a fee for withdrawals, but other branches don't have any and it's super rare for me to withdraw money from the teller, once in a blue moon. The minimum free withdrawal is 60k. That means you only respect the rich! What a rubbish customer service!",ChIJhyzcqjTPlzMRkXNW4bTQlQs,https://www.google.com/maps/place/?q=place_id:ChIJhyzcqjTPlzMRkXNW4bTQlQs
BPI Taytay Branch ATM & CAM,atm,OPERATIONAL,Taytay,Rizal,CALABARZON,"JP Rizal, Dolores, Taytay, 1920 Lalawigan ng Rizal, Philippines",14.5686715,121.1307876,1,3,No cash acceptance machine outside; There is no CAM outside. I just don't know inside BPI.; There is no CAM.,ChIJ7UfCp3THlzMRWy4pn2UxOQ0,https://www.google.com/maps/place/?q=place_id:ChIJ7UfCp3THlzMRWy4pn2UxOQ0
BPI Pasig Buting Branch,bank,OPERATIONAL,Pasig,NCR,NCR,"Anvic Bldg, 99-A San Guillermo Ave, Pasig, 1601 Metro Manila, Philippines",14.5536055,121.0695186,2.1,25,"A male employee waited more than an hour to get the card, just the right phone; SUPER SLOW AND JUST CHEATING??? There are so many people.; Graeee Long waaaiitttt time ðŸ˜¡ as always!!! There are only one or two tellers my gosh ðŸ˜ðŸ˜ðŸ˜ðŸ˜ â€¦; Long wait times. Employees doing nothing, fiddling with their phones while the queue piles up. One employee did nothing until his friend needed to get his card, immediately helped him ignoring the queue numbers; Trying on unusual shoes; I waited for almost an hour. Nothing happened. I used their ticketing system only to find out that it was not the one used for opening an account if I had not asked. Poor service.; Literally dissatisfied, land lines and phone numbers are not working.
Keeps on ringing but no one answers.
You go into the branch and they said it's cut off already. â€¦; terrible; slow customer service",ChIJV27MUojIlzMR0TsPmkPaKBY,https://www.google.com/maps/place/?q=place_id:ChIJV27MUojIlzMR0TsPmkPaKBY
BPI Marikina Gil Fernando Branch ATM,atm,OPERATIONAL,Marikina,NCR,NCR,"25 Mayor Gil Fernando Ave, Marikina, 1800 Metro Manila, Philippines",14.6228356,121.1020023,,,No reviews found,ChIJQWiTCzi4lzMR8q4jCVG1Ctg,https://www.google.com/maps/place/?q=place_id:ChIJQWiTCzi4lzMR8q4jCVG1Ctg
BPI Family Savings Cainta Poblacion Branch ATM & CAM,atm,OPERATIONAL,Cainta,Rizal,CALABARZON,"A. Bonifacio Ave, Cainta, 1900 Rizal, Philippines",14.578472,121.1163832,3,1,No recent reviews,ChIJicgr_ZrHlzMRRVKCmv-Q3N0,https://www.google.com/maps/place/?q=place_id:ChIJicgr_ZrHlzMRRVKCmv-Q3N0
BPI Salcedo Village Branch,bank,OPERATIONAL,Makati,NCR,NCR,"Salcedo Village, G/F 88 Corporate Center Valero, cor SedeÃ±o, Makati City, 1227 Metro Manila, Philippines",14.5582868,121.0223247,2.2,13,"My BPI account became zero balance. Then there was a fraud that was manipulating my account. They couldn't even answer my call, they were scammers.; I visited the BPI Salcedo Village Branch on July 31, 2024, intending to encash a check. The amount wasnâ€™t significant, but the experience I had was unfortunately quite disappointing. I was assisted by Bianca Guillo, who made me feel as if I â€¦; They keep flagging my account for AMLA policy, already sent me 2 emails regarding this, but my salary deposited there is only P60k less monthly. I don't know if they're belittling me thinking I cannot earn such money or what.; They have changed my account number and when I deposited the money to the new account number I received in BPI application notification, the money did not credited to my account. I called the CALL CENTER for help but the only response I got â€¦; Good day BPI? please verify my account because we cannot open in New BPI apps..my account didn't open and verify and always see try again later..I call also in customer service but no one answers..we need to open my account to send money to my family..we cannot deposit my account until not open.. Very hard for me because I'm ofw..; You change my old account number and give me another account when i deposit on it the money still not update in my online banking...and customer ssrvice cant reach out...even your branch....can you please acknowledge my concern my kids need money...",ChIJ99OVAAbJlzMRcrTe5B3ByKM,https://www.google.com/maps/place/?q=place_id:ChIJ99OVAAbJlzMRcrTe5B3ByKM
BPI Salcedo Tordesillas Branch,bank,OPERATIONAL,Makati,NCR,NCR,"Salcedo Village, G/F Solar Century Tower HV Dela Costa St, Corner Tordesillas, Makati City, 1227 Metro Manila, Philippines",14.5604094,121.022433,3.5,11,"Wrong Pin, re location is along HV dela Costa and Tordesillas intersection; I had the pleasure of being assisted by Shiela, and her professionalism truly stood out. She seamlessly juggled multiple clients while ensuring all my questions were answered promptly and with genuine politeness. Shiela made the entire â€¦; Theyâ€™re unreachable. No one answering the phone or email .",ChIJc24CWAjJlzMRFS513r-vbtI,https://www.google.com/maps/place/?q=place_id:ChIJc24CWAjJlzMRFS513r-vbtI
BPI Legaspi Salcedo Branch,bank,OPERATIONAL,Makati City,NCR,NCR,"G/F State Condominium 1 Building, 186 Salcedo Street, Legazpi Street, Makati, 1229 Kalakhang Maynila, Philippines",14.5559105,121.0157255,1.9,19,"Seriously, I don't understand why it always takes so long to pay or deposit here at this branch. I have been working in Makati for 9 years, but they have not changed. We just don't have a choice because this is the only one close to the â€¦; The process took a long time and the staff was slow.; Prompt service, efficient staff; It's too slow, there are many tellers but only 2 were able to process the transaction, and that's one priority lane.",ChIJq5UX0A3JlzMRxbDS6MimRgY,https://www.google.com/maps/place/?q=place_id:ChIJq5UX0A3JlzMRxbDS6MimRgY
BPI Salcedo HV Dela Costa Branch,bank,OPERATIONAL,Makati City,NCR,NCR,"G/F, The Parklane Condominium, Salcedo Village, 116 H.V. Dela Costa, Makati City, 1227 Metro Manila, Philippines",14.5609181,121.0235932,1,2,No recent reviews,ChIJc6fRvwfJlzMRzDYFz-a_YbQ,https://www.google.com/maps/place/?q=place_id:ChIJc6fRvwfJlzMRzDYFz-a_YbQ
BPI Salcedo Tordesillas Branch ATM,atm,OPERATIONAL,Makati,NCR,NCR,"G/F Solar Century Tower HV Dela Costa Corner, Tordesillas, Sts Salcedo Village, Makati City, Metro Manila, Philippines",14.5610321,121.0199162,2.3,3,No CAM. it has been renovated with 1 ATM only.; No CAM available.; NO CAM any more,ChIJvx1xR-nJlzMRjtNSwBCu9G8,https://www.google.com/maps/place/?q=place_id:ChIJvx1xR-nJlzMRjtNSwBCu9G8
BPI Alfaro Branch,bank,OPERATIONAL,Makati City,NCR,NCR,"G/F, LPL Center, Salcedo Village, 130 L.P. Leviste Street, Makati City, 1227 Metro Manila, Philippines",14.5589939,121.02177,2.7,14,"Please help me fix my online banking, access is locked because I need it to be opened so I can use it for the allotment.; Bad experience, bad customer service. Attitude of the guard at the door. I felt uncomfortable. Just go to another branch, it's really the worst branch.; Always 1 teller at this branch and around 10 clients already waiting for their turn. One of the worst BPI branch in Makati. Had to wait more than 30 minutes before deciding to go to the other branch which is now my preferred branch.; Must be the worst branch in Makati. Always 1 teller manning the booth. Youâ€™re lucky if you can deposit your money in 30mins. Seems like they really donâ€™t care about their customers. Horrible",ChIJJYh8RQbJlzMRNgrsFBsCjnw,https://www.google.com/maps/place/?q=place_id:ChIJJYh8RQbJlzMRNgrsFBsCjnw
Bank of the Philippine Islands,bank,OPERATIONAL,Bacoor,NCR,NCR,"State Condominium 1, 186 Salcedo, Legaspi Village, Makati City, 1229 Metro Manila, Philippines",14.5558517,121.0173324,1,2,Poor service,ChIJw01X0A3JlzMRjGFDJTq3E1w,https://www.google.com/maps/place/?q=place_id:ChIJw01X0A3JlzMRjGFDJTq3E1w
"BPI Direct BanKo Inc., A Savings Bank",bank,OPERATIONAL,San Juan City,NCR,NCR,"4th Floor, BanKo Center, 220 Ortigas Ave, San Juan City, 1503 Metro Manila, Philippines",14.602386,121.046616,2.6,15,No reviews found,ChIJz6dzQNi3lzMRnGS6eczdCY0,https://www.google.com/maps/place/?q=place_id:ChIJz6dzQNi3lzMRnGS6eczdCY0
BPI Corinthian Plaza Branch,bank,OPERATIONAL,Makati City,NCR,NCR,"G/F, Corinthian Plaza, Bldg 121 Paseo de Roxas, Makati City, 1223 Metro Manila, Philippines",14.5537624,121.0190855,3.5,14,"Best bank, not in my lifetime. They're marked as a Western Union location. I took a ticket and waited patiently, only to discover after speaking with lady behind the counter, I need another number and wait in line for customer service. â€¦; love that this branch has parking and bank tellers are very efficient.; no parking area,ðŸ‘ŽðŸ‘ŽðŸ‘Ž â€¦; All mobile numbers are not inservice.
Landlines are not attended. Keeps on ringing.",ChIJndc_0w_JlzMROymK71ZDW3w,https://www.google.com/maps/place/?q=place_id:ChIJndc_0w_JlzMROymK71ZDW3w
BPI Rosales Branch,bank,OPERATIONAL,Rosales,Pangasinan,Ilocos Region,"McArthur Highway, Brgy, Rosales, 2441 Pangasinan, Philippines",15.8831413,120.5987571,2.4,8,No reviews found,ChIJ44Xea3M5kTMRZDmR7mbGbUI,https://www.google.com/maps/place/?q=place_id:ChIJ44Xea3M5kTMRZDmR7mbGbUI
BanKo A Subsidiary of BPI,bank,OPERATIONAL,Urdaneta City,Pangasinan,Ilocos Region,"XHFC+J7G, Urdaneta City, Pangasinan, Philippines",15.9740512,120.5706922,,,No reviews found,ChIJjxiCoa0_kTMRQ82bYwvb9dY,https://www.google.com/maps/place/?q=place_id:ChIJjxiCoa0_kTMRQ82bYwvb9dY
BPI SF La Union South Branch,bank,OPERATIONAL,San Fernando City,La Union,Ilocos Region,"500 Quezon Ave, San Fernando City, 2500 La Union, Philippines",16.6133713,120.316331,2.4,12,"Disappointed! The number of people was only two tellers, one was slow. Maybe you want to add tellers who act quickly.; Very disappointed !
Super slow  ang customer service.
If only I have time to transfer my account to other bank.
We already spend an hour dipa din tapos ang isang transaction.; The service here is so slow. Legit and theyâ€™re not doing anything about it. Got a bank cert, 3+hours waiting time because only one processed then another queue for seniors. Then just change of address, I filled up the form and all via bpi â€¦; slow service, been waiting on queue for almost 2 hrs.; Service is slow. Rude employees; Service is very slow and the girl  staff is so rude and mapangpata. Watch out sa girl staff malapit sa counter na cubicle.",ChIJy37zDUGOkTMRLH7lQtA7Sh4,https://www.google.com/maps/place/?q=place_id:ChIJy37zDUGOkTMRLH7lQtA7Sh4
BPI Direct Banko San Ildefonso Bulacan,bank,OPERATIONAL,San Ildefonso,Bulacan,Central Luzon,"3WGR+3VR, Sanchez bldg, 1, San Ildefonso, 3010 Bulacan, Philippines",15.0752403,120.9421133,5,1,No recent reviews,ChIJo04I7aoDlzMRH9pIO8sqhlo,https://www.google.com/maps/place/?q=place_id:ChIJo04I7aoDlzMRH9pIO8sqhlo
BPI DIRECT BANKO VIGAN,bank,OPERATIONAL,Vigan City,Ilocos Sur,Ilocos Region,"Sky 1 bldg ALCANTARA st, corner Del Pilar St, Vigan City, Ilocos Sur, Philippines",17.5729102,120.3857249,,,No reviews found,ChIJj1gUXABljjMRQpxpyuCb98w,https://www.google.com/maps/place/?q=place_id:ChIJj1gUXABljjMRQpxpyuCb98w
BPI Sta. Lucia Branch ATM & CAM,atm,OPERATIONAL,Pasig,NCR,NCR,"GF Bldg. 2, Sta. Lucia Eastmall Grandmall along Marcos Highway cor, Felix Ave, Pasig, Rizal, Philippines",14.6189054,121.1010909,1,6,"The working hours are not correct.; So many needsðŸ˜«ðŸ™„ â€¦; Gambling process. Last time I went to open an account, they were still talking about their own stories while holding my paper. I also waited outside for a while. I don't know if there is counseling inside or if they are just slow. One more â€¦; This branch is very slow. Best bank but extremely slow.",ChIJdcEqtTi4lzMRI_gL0PhUrsA,https://www.google.com/maps/place/?q=place_id:ChIJdcEqtTi4lzMRI_gL0PhUrsA
BPI Antipolo Victory Park ATM,atm,OPERATIONAL,Antipolo City,Rizal,CALABARZON,"G/F, Victory Park & Shop, M.L. Quezon Street, cor P. Oliveros Street, Antipolo City, Rizal, Philippines",14.588024,121.1756796,5,1,No recent reviews,ChIJ-1XU7VO_lzMR91_pjxyobdM,https://www.google.com/maps/place/?q=place_id:ChIJ-1XU7VO_lzMR91_pjxyobdM
BPI Sto. Tomas FPIP Branch,bank,OPERATIONAL,Santo Tomas,Batangas,CALABARZON,"G/F, Cyber Bldg, 0 FPIP, Santo Tomas, 4234 Batangas, Philippines",14.136373,121.1318803,3.4,16,No reviews found,ChIJ1w0wblNkvTMRL-Y8LjV6CQ4,https://www.google.com/maps/place/?q=place_id:ChIJ1w0wblNkvTMRL-Y8LjV6CQ4
Bank of the Philippine Islands (Sta. Cruz Laguna Highway,bank,OPERATIONAL,Santa Cruz,Laguna,CALABARZON,"7C8G+6V9, National Hwy, Santa Cruz, Laguna, Philippines",14.2655272,121.4272429,2.4,25,"Slow customer service. Queueing number is not being followed, they allow anyone who approach without checking the queueing number when clearly thereâ€™s a line waiting.; VERY SLOW customer service and the auto loan bald guy is SO RUDE!!!; Poor Customer services. Especially the tellers. Unpolite and gossipy. ðŸ˜¡ â€¦; Got my ATM today. The process was fast and the staffs are all nice and accommodating.; The service was slow, just getting an ATM took 2.5 hours because there was only 7 people in line, and then they put the person next to me in line first, so it took even longer.; Very slow service. I waited more than an hour just to claim my debit card replacement.; The process was a bit long. It took me 2 hours to open the account. But all their employees were very kind.; Their service is fast. The staff is friendly, especially the guard.",ChIJKcDTQSPjlzMRTRdfsYdI7js,https://www.google.com/maps/place/?q=place_id:ChIJKcDTQSPjlzMRTRdfsYdI7js
BPI ATM SM City East Ortigas,atm,OPERATIONAL,Pasig,NCR,NCR,"SM City East Ortigas OFF with address at, Ortigas Ave Ext, Pasig, Metro Manila, Philippines",14.5881666,121.1049788,3,2,Always offline.,ChIJG1vysozHlzMRupSgOPlZf1c,https://www.google.com/maps/place/?q=place_id:ChIJG1vysozHlzMRupSgOPlZf1c
BPI Masinag Branch CAM,atm,OPERATIONAL,Antipolo City,Rizal,CALABARZON,"Unit 103, Rikland Commercial Center, Marikina-Infanta Hwy, Brgy Mayamot, Antipolo City, 1870 Rizal, Philippines",14.6246595,121.1327685,1.5,8,"Not 24 hours CAM, it is inside the bank itself and cannot be access outside banking hours. Not convenient at all.
I wasted my time to go there.; It took too long. The CAM was broken, the ATM was offline. There were only two tellers. â€¦",ChIJcerCifu4lzMRXLDMDYV1McU,https://www.google.com/maps/place/?q=place_id:ChIJcerCifu4lzMRXLDMDYV1McU
BPI Cainta Junction Branch ATM & CAM,atm,OPERATIONAL,Cainta,Rizal,CALABARZON,"Junction, Ortigas Ave Ext, Cainta, Rizal, Philippines",14.5869811,121.1138816,1.8,4,"There's no CAM, just 2 ATMs.; Needed to deposit money for emergency, but the CAM is inside, I'm not even allowed to enter, the CAM should always be outside, it's irritating",ChIJ06bRHYbHlzMRZYNmYkuKf1s,https://www.google.com/maps/place/?q=place_id:ChIJ06bRHYbHlzMRZYNmYkuKf1s
BPI Antipolo Circumferential Road 2 Branch ATM,atm,OPERATIONAL,Antipolo City,Rizal,CALABARZON,"Brgy, Achacoso Bldg, 83 L. Sumulong Memorial Circle, Antipolo City, 1870 Rizal, Philippines",14.5815041,121.1810715,,,No reviews found,ChIJATovTwW_lzMRGvDYSLsxp5s,https://www.google.com/maps/place/?q=place_id:ChIJATovTwW_lzMRGvDYSLsxp5s
